Date,Time,"P-core 8 T0 Effective Clock [MHz]","P-core 8 T0 Usage [%]","Total CPU Usage [%]","CPU Package [¡ÆC]","CPU Package Power [W]",
25.8.2026,8:50:7.214,26.0,0.0,1.7,63,10.267,
25.8.2026,8:50:7.420,56.2,6.9,5.8,62,9.892,
25.8.2026,8:50:7.628,80.4,0.0,4.8,61,12.806,
25.8.2026,8:50:7.840,26.3,0.0,4.6,61,9.998,
25.8.2026,8:50:8.047,35.2,26.4,5.0,61,10.415,
25.8.2026,8:50:8.255,18.5,0.0,4.7,63,10.247,
25.8.2026,8:50:8.464,59.7,31.1,4.5,61,10.525,
25.8.2026,8:50:8.651,55.0,6.7,2.0,61,10.211,
25.8.2026,8:50:8.860,52.7,11.7,9.4,60,9.762,
25.8.2026,8:50:9.065,137.2,3.3,6.3,61,12.447,
25.8.2026,8:50:9.272,109.1,0.0,13.0,80,18.371,
25.8.2026,8:50:9.475,47.3,18.6,3.7,63,20.124,
25.8.2026,8:50:9.683,32.1,0.0,1.7,62,11.382,
25.8.2026,8:50:9.889,43.0,5.9,5.5,62,11.180,
25.8.2026,8:50:10.099,42.3,0.0,6.5,59,11.699,
25.8.2026,8:50:10.307,68.2,0.0,1.7,60,9.134,
25.8.2026,8:50:10.514,64.1,27.8,3.9,60,9.948,
25.8.2026,8:50:10.723,27.9,0.0,5.0,61,8.787,
25.8.2026,8:50:10.927,21.5,0.0,4.5,60,11.045,
25.8.2026,8:50:11.135,44.0,13.2,5.8,60,11.983,
25.8.2026,8:50:11.327,44.0,13.2,5.8,60,10.708,
25.8.2026,8:50:11.533,24.2,5.1,3.8,58,11.469,
25.8.2026,8:50:11.741,29.9,0.0,6.0,65,8.990,
25.8.2026,8:50:11.933,49.0,0.0,2.9,59,10.158,
25.8.2026,8:50:12.139,60.3,27.3,4.4,59,9.824,
25.8.2026,8:50:12.346,52.3,0.5,1.9,60,10.898,
25.8.2026,8:50:12.553,24.9,5.3,6.1,60,10.579,
25.8.2026,8:50:12.762,40.5,0.0,3.0,60,9.888,
25.8.2026,8:50:12.969,39.0,8.0,4.4,61,11.990,
25.8.2026,8:50:13.175,44.6,6.1,7.0,59,14.634,
25.8.2026,8:50:13.384,27.5,0.0,5.0,59,11.040,
25.8.2026,8:50:13.574,28.1,5.9,2.3,62,11.095,
25.8.2026,8:50:13.781,26.7,0.0,1.9,61,9.649,
25.8.2026,8:50:13.989,45.9,0.0,2.2,60,11.950,
25.8.2026,8:50:14.194,24.8,0.0,6.1,60,11.710,
25.8.2026,8:50:14.399,61.0,13.1,2.3,61,10.248,
25.8.2026,8:50:14.591,32.9,0.0,5.8,62,15.131,
25.8.2026,8:50:14.796,35.0,6.5,3.7,61,9.246,
25.8.2026,8:50:15.003,21.4,5.8,5.0,64,9.605,
25.8.2026,8:50:15.214,33.8,0.0,4.4,61,9.610,
25.8.2026,8:50:15.406,27.9,0.0,2.0,63,8.744,
25.8.2026,8:50:15.609,36.1,0.0,2.1,60,10.377,
25.8.2026,8:50:15.820,36.6,18.2,7.3,60,9.043,
25.8.2026,8:50:16.023,240.5,10.5,6.4,61,15.341,
25.8.2026,8:50:16.214,132.9,0.0,2.5,57,11.495,
25.8.2026,8:50:16.421,67.7,13.2,3.4,59,10.479,
25.8.2026,8:50:16.627,57.5,6.3,6.7,59,9.766,
25.8.2026,8:50:16.836,32.3,0.0,4.0,59,11.479,
25.8.2026,8:50:17.040,37.3,12.9,3.5,60,12.912,
25.8.2026,8:50:17.234,48.2,0.0,2.0,63,10.636,
25.8.2026,8:50:17.438,42.0,5.5,3.2,58,10.228,
25.8.2026,8:50:17.648,75.6,0.0,6.5,59,9.886,
25.8.2026,8:50:17.852,25.8,0.0,2.2,60,11.177,
25.8.2026,8:50:18.044,92.6,0.7,3.0,58,10.973,
25.8.2026,8:50:18.247,39.0,18.0,3.6,59,12.058,
25.8.2026,8:50:18.458,28.3,12.7,10.6,83,9.752,
25.8.2026,8:50:18.662,57.1,0.0,6.4,60,12.777,
25.8.2026,8:50:18.868,73.6,6.4,4.9,60,13.580,
25.8.2026,8:50:19.063,39.3,0.0,3.0,57,13.580,
25.8.2026,8:50:19.269,36.1,22.8,11.4,59,11.484,
25.8.2026,8:50:19.471,31.0,6.7,5.4,59,12.472,
25.8.2026,8:50:19.677,46.2,0.1,2.7,59,10.263,
25.8.2026,8:50:19.871,36.1,0.0,2.4,59,10.046,
25.8.2026,8:50:20.080,191.3,8.3,4.6,84,9.565,
