Date,Time,"CPU Package Power [W]","Total CPU Usage [%]","Core 0 Clock [MHz]","CPU Package [¡ÆC]",
31.8.2026,21:7:1.749,7.957,4.2,4699.7,42,
31.8.2026,21:7:1.954,7.664,11.2,4099.7,41,
31.8.2026,21:7:2.167,8.187,1.9,4099.7,41,
31.8.2026,21:7:2.373,7.561,12.6,4099.7,42,
31.8.2026,21:7:2.585,8.558,3.0,4699.7,41,
31.8.2026,21:7:2.797,7.905,5.8,4699.7,42,
31.8.2026,21:7:3.001,8.086,3.7,4699.7,41,
31.8.2026,21:7:3.214,8.231,7.2,4699.7,43,
31.8.2026,21:7:3.421,8.946,3.7,4699.7,40,
31.8.2026,21:7:3.630,8.126,4.7,4699.7,42,
31.8.2026,21:7:3.835,8.294,7.6,4699.7,41,
31.8.2026,21:7:4.042,8.917,5.9,4699.7,40,
31.8.2026,21:7:4.251,7.958,5.6,4699.7,40,
31.8.2026,21:7:4.456,8.054,3.6,4099.7,39,
31.8.2026,21:7:4.664,8.211,3.6,4699.7,41,
