selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_upper_ms,latency_relative_uncertainty,combined_relative_uncertainty,capacity_energy_score,is_capacity_energy_pareto,is_latency_energy_pareto
6,low_energy_ucb,C036812,217650833133950520,5,inverse_hourglass,linear,0.1,5,1-2-3-4-5,12,15,12-15-15-14-12,7569,1,12-15-15-14-12|1-2-3-4-5,5,7569,inverse_hourglass,linear,12.0,1.0,15.0,1.0,15.0,1.0,14.0,1.0,12.0,1.0,,0.0,12.0,15.0,13.6,1.3564659966250536,68.0,3.0,12.0,12.0,1.0,5.0,912384.0,1824768.0,17360.0,1.0,1.0,0.0008173301,0.0008391013427171,6.548971969731723e-05,0.0009045910624145,0.0780474495312423,0.063468374,0.0719859298318624,0.008152013663212,0.0801379434950744,0.1132445421244496,0.095645995827846,0.013894084089090063,False,False
7,low_energy_ucb,C020670,7010317208617227512,5,uniform,late,0.0,4,1-2-3-4,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3-4,5,5698,uniform,late,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,4.0,772416.0,1544832.0,16368.0,2.0,2.0,0.0008255914,0.0008429966575931,6.705543145390788e-05,0.000910052089047,0.0795441249379998,0.06640562,0.0713956044986844,0.0088023899978887,0.0801979944965731,0.1232903630369979,0.1014172439874989,0.0266360516659033,False,False
8,low_energy_ucb,C024630,556652432274193651,4,uniform,linear,0.05,3,1-2-3,13,13,13-13-13-13,5106,1,13-13-13-13|1-2-3,4,5106,uniform,linear,13.0,1.0,13.0,1.0,13.0,1.0,13.0,0.0,,0.0,,0.0,13.0,13.0,13.0,0.0,52.0,0.0,13.0,13.0,1.0,3.0,870480.0,1740960.0,17680.0,4.0,4.0,0.00087147584,0.0008221990428864,8.921706081181684e-05,0.0009114161036983,0.1085102951453243,0.06641873,0.0716166164726019,0.0084205518380482,0.0800371683106501,0.1175781858009125,0.1130442404731184,0.030642018457117615,False,False
9,low_energy_ucb,C035666,2971488483218782882,4,hourglass,linear,0.1,4,1-2-3-4,13,14,14-13-13-14,5379,1,14-13-13-14|1-2-3-4,4,5379,hourglass,linear,14.0,1.0,13.0,1.0,13.0,1.0,14.0,1.0,,0.0,,0.0,13.0,14.0,13.5,0.5,54.0,1.0,14.0,14.0,1.0,4.0,929952.0,1859904.0,18720.0,2.0,2.0,0.0008888006,0.0008292267215438,9.017663016635168e-05,0.0009194033517101,0.1087478584849083,0.06636613,0.0734579816460609,0.0074062287507459,0.0808642103968068,0.1008226551395189,0.1047852568122136,0.029403138290023875,False,False
11,low_energy_ucb,C006483,2775009537049986249,6,uniform,linear,0.05,5,1-2-3-4-6,12,12,12-12-12-12-12-12,7006,1,12-12-12-12-12-12|1-2-3-4-6,6,7006,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,1.0,12.0,12.0,12.0,0.0,72.0,0.0,12.0,12.0,1.0,5.0,777600.0,1555200.0,16416.0,1.0,1.0,0.00078112003,0.0008332779019838,8.849137424511298e-05,0.0009217692762289,0.1061967130466772,0.06399927,0.07146623339504,0.0084819827473724,0.0799482161424124,0.1186851796216405,0.1124409463341589,0.01882530358320616,False,False
12,low_energy_ucb,C013473,4345298529108954167,5,uniform,linear,0.0,4,1-2-3-5,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3-5,5,5698,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,1.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,4.0,787968.0,1575936.0,16512.0,2.0,2.0,0.0008068489,0.0008456079056486,7.79220055926832e-05,0.0009235299112413,0.092149097793629,0.06570496,0.0708286877721548,0.008353041044551,0.0791817288167058,0.1179330199003759,0.1050410588470025,0.027587832969855675,False,False
13,low_energy_ucb,C016970,2411874805599073337,6,uniform,linear,0.0,5,1-2-3-5-6,13,13,13-13-13-13-13-13,8174,1,13-13-13-13-13-13|1-2-3-5-6,6,8174,uniform,linear,13.0,1.0,13.0,1.0,13.0,1.0,13.0,0.0,13.0,1.0,13.0,1.0,13.0,13.0,13.0,0.0,78.0,0.0,13.0,13.0,1.0,5.0,900900.0,1801800.0,17940.0,1.0,1.0,0.00076641986,0.0008338616520632,9.283468242015713e-05,0.0009266963344833,0.1113310369777267,0.06381375,0.0711921522393822,0.0087462761226503,0.0799384283620326,0.1228544979682754,0.1170927674730011,0.011459625514471272,False,False
14,low_energy_ucb,C009322,1760985882587396856,5,uniform,linear,0.1,3,1-2-3,12,12,12-12-12-12-12,5698,1,12-12-12-12-12|1-2-3,5,5698,uniform,linear,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,0.0,,0.0,12.0,12.0,12.0,0.0,60.0,0.0,12.0,12.0,1.0,3.0,787968.0,1575936.0,16512.0,4.0,4.0,0.0008174669,0.0008507549180649,8.151874797528738e-05,0.0009322736660402,0.0958193085274255,0.06633749,0.0713529136031866,0.0085399146587817,0.0798928282619683,0.1196855773300944,0.1077524429287599,0.028205302337232896,False,False
29,high_uncertainty,C018279,8269485494687657408,6,uniform,late,0.05,3,2-4-6,14,14,14-14-14-14-14-14,9432,1,14-14-14-14-14-14|2-4-6,6,9432,uniform,late,14.0,0.0,14.0,1.0,14.0,0.0,14.0,1.0,14.0,0.0,14.0,1.0,14.0,14.0,14.0,0.0,84.0,0.0,14.0,14.0,1.0,3.0,3322368.0,6644736.0,37632.0,4.0,4.0,0.0011967039,0.001041773892939,0.000299436695496,0.0013412105884351,0.2874296404675951,0.12262159,0.1161534272134304,0.0125410038368679,0.1286944310502984,0.1079692966254371,0.1976994685465161,0.03242394015146969,False,False
30,high_uncertainty,C018246,3686861969952847417,6,increasing,late,0.05,1,4,9,14,9-9-10-11-12-14,5687,1,9-9-10-11-12-14|4,6,5687,increasing,late,9.0,0.0,9.0,0.0,10.0,0.0,11.0,1.0,12.0,0.0,14.0,0.0,9.0,14.0,10.833333333333334,1.7716909687891085,65.0,5.0,9.0,14.0,1.5555555555555556,1.0,3529728.0,7059456.0,46592.0,16.0,16.0,0.0018220412,0.0013037190539762,0.0003357367667262,0.0016394558207024,0.2575223286813902,0.14463902,0.1273576728999614,0.0168316372932965,0.144189310193258,0.1321603709461436,0.1948413498137669,0.07821797093567716,False,False
31,high_uncertainty,C038226,2637945605762177213,6,increasing,linear,0.1,5,1-2-4-5-6,9,29,9-14-16-21-24-29,17630,2,9-14-16-21-24-29|1-2-4-5-6,6,17630,increasing,linear,9.0,1.0,14.0,1.0,16.0,0.0,21.0,1.0,24.0,1.0,29.0,1.0,9.0,29.0,18.83333333333333,6.618576550554926,113.0,20.0,9.0,29.0,3.2222222222222223,5.0,959328.0,1918656.0,15668.0,1.0,1.0,0.00089303096,0.0009946084173861,0.000192978611346,0.0011875870287321,0.1940247116077616,0.064033836,0.0790098970755934,0.0144968347966739,0.0935067318722674,0.1834812515045299,0.1887529815561457,-0.032565320827254385,False,False
32,high_uncertainty,C036415,3655262144839531510,6,uniform,early,0.1,2,2-4,14,14,14-14-14-14-14-14,9432,1,14-14-14-14-14-14|2-4,6,9432,uniform,early,14.0,0.0,14.0,1.0,14.0,0.0,14.0,1.0,14.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0,84.0,0.0,14.0,14.0,1.0,2.0,3322368.0,6644736.0,37632.0,8.0,8.0,0.0012597978,0.0011055520706577,0.0002914247888367,0.0013969768594944,0.2636011424259404,0.12274573,0.1171729333698749,0.0122248817943924,0.1293978151642674,0.1043319599740896,0.183966551200015,0.03636206111939803,False,False
33,high_uncertainty,C000020,4497142929430243183,6,increasing,early,0.1,5,1-2-4-5-6,8,26,8-16-17-21-25-26,17987,2,8-16-17-21-25-26|1-2-4-5-6,6,17987,increasing,early,8.0,1.0,16.0,1.0,17.0,0.0,21.0,1.0,25.0,1.0,26.0,1.0,8.0,26.0,18.83333333333333,6.094168432927408,113.0,18.0,8.0,26.0,3.25,5.0,977400.0,1954800.0,15224.0,1.0,1.0,0.0009831687,0.0011114810680737,0.0001967782440229,0.0013082593120966,0.1770414716680076,0.06571108,0.0803999450057744,0.0147945443074428,0.0951944893132173,0.1840118709830002,0.1805266713255039,-0.026401318460401432,False,False
34,high_uncertainty,C002693,3830530116890815521,3,hourglass,late,0.05,3,1-2-3,8,67,67-8-67,12279,1,67-8-67|1-2-3,3,12279,hourglass,late,67.0,1.0,8.0,1.0,67.0,1.0,,0.0,,0.0,,0.0,8.0,67.0,47.333333333333336,27.81286672667087,142.0,59.0,67.0,67.0,1.0,3.0,3396096.0,6792192.0,74944.0,4.0,4.0,0.0020566662,0.0016589455888606,0.0003994598117384,0.002058405400599,0.2407913884702933,0.16074078,0.1580924212932586,0.0186637900503269,0.1767562113435856,0.1180561971133702,0.1794237927918318,0.06426909495092988,False,False
35,high_uncertainty,C033639,8414868587005446217,6,increasing,late,0.1,2,2-5,10,35,10-11-13-18-24-35,16572,1,10-11-13-18-24-35|2-5,6,16572,increasing,late,10.0,0.0,11.0,1.0,13.0,0.0,18.0,0.0,24.0,1.0,35.0,0.0,10.0,35.0,18.5,8.770214744615247,111.0,25.0,10.0,35.0,3.5,2.0,3638016.0,7276032.0,37824.0,8.0,8.0,0.0013233223,0.0012346841249382,0.0003033910833955,0.0015380752083338,0.2457236448316544,0.12456727,0.124072491377592,0.0133352559470129,0.137407747324605,0.1074795532752664,0.1766015990534604,-0.0008272657946958029,False,False
36,high_uncertainty,C007923,6197234140850566517,6,uniform,late,0.1,1,2,13,13,13-13-13-13-13-13,8174,1,13-13-13-13-13-13|2,6,8174,uniform,late,13.0,0.0,13.0,1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,78.0,0.0,13.0,13.0,1.0,1.0,3474432.0,6948864.0,39936.0,16.0,16.0,0.0015662932,0.0011466148134786,0.0002568265099318,0.0014034413234105,0.2239867363589376,0.12648608,0.1178536742925644,0.0150510608778532,0.1329047351704176,0.1277097296134354,0.1758482329861865,0.04512656077095492,False,False
