selection_rank,selection_reason,candidate_id,seed,depth,pattern,growth_pattern,noise_ratio,pool_count,pools,min_channels,max_channels,channels,parameter_count,parameter_bin,architecture_key,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score,predicted_energy_j,ensemble_energy_mean_j,energy_uncertainty_std_j,energy_lower_j,energy_upper_j,energy_relative_uncertainty,predicted_latency_ms,ensemble_latency_mean_ms,latency_uncertainty_std_ms,latency_lower_ms,latency_upper_ms,latency_relative_uncertainty,predicted_accuracy_percent,ensemble_accuracy_mean_percent,accuracy_uncertainty_std_percent,accuracy_lower_percent,accuracy_upper_percent,accuracy_relative_uncertainty,combined_relative_uncertainty,is_measured_candidate,pareto_value_source,measured_model_id,distance_to_new_measurement,ensemble_second_weight,ensemble_first_weight,ensemble_method,first_ensemble_accuracy_mean_percent,second_ensemble_accuracy_mean_percent,first_ensemble_energy_mean_j,second_ensemble_energy_mean_j,first_ensemble_latency_mean_ms,second_ensemble_latency_mean_ms,is_mean_accuracy_energy_pareto,is_mean_accuracy_latency_pareto,is_mean_capacity_energy_pareto,accuracy_energy_score
11,mean_acc_energy_pareto,C043954,8842974780434013219,6,increasing,late,0.0,4,1-2-3-4,18,213,18-26-49-88-143-213,445036,4,18-26-49-88-143-213|1-2-3-4,6,445036,increasing,late,18.0,1.0,26.0,1.0,49.0,1.0,88.0,1.0,143.0,0.0,213.0,0.0,18.0,213.0,89.5,69.4040104508858,537.0,195.0,18.0,213.0,11.833333333333334,4.0,4480236.0,8960472.0,31056.0,2.0,2.0,,,,0.0032458207826407,0.0030231393852127,0.0002687285356396,0.0027544108495731,0.0032918679208524,0.0888905542873909,0.1891398016015292,0.1789949126974492,0.0159284253149577,0.1630664873824915,0.194923338012407,0.088988145388697,83.0435423917143,81.84274776530611,1.1863185393070412,80.65642922599908,83.02906630461315,0.0144950966542442,0.0641245987767774,False,predicted,,0.226055515749613,0.6447770164301183,0.3552229835698817,distance_weighted_round1_round2,83.67935676574707,80.83091621398925,0.00217603900237,0.0034898271202109,0.162873537838459,0.1878765612840652,True,True,False,0.8643714656990704
12,mean_acc_energy_pareto,C001107,2216743336134347080,5,increasing,early,0.0,5,1-2-3-4-5,12,118,12-65-87-104-118,251695,4,12-65-87-104-118|1-2-3-4-5,5,251695,increasing,early,12.0,1.0,65.0,1.0,87.0,1.0,104.0,1.0,118.0,1.0,,0.0,12.0,118.0,77.2,37.09123885771409,386.0,106.0,12.0,118.0,9.833333333333334,5.0,7130880.0,14261760.0,36632.0,1.0,1.0,,,,0.0026342208603557,0.0027600762557473,0.0002446820941034,0.0025153941616439,0.0030047583498508,0.0886504833313716,0.2046175026217359,0.2160141000490499,0.0098233014653043,0.2061907985837456,0.2258374015143542,0.0454752789890742,81.22676430144577,81.40352407124604,1.266401725137999,80.13712234610804,82.66992579638404,0.0155570872340811,0.0498942831848423,False,predicted,,0.2617056606932121,0.6195567503918191,0.3804432496081809,distance_weighted_round1_round2,83.09865264892578,80.36261825561523,0.00236738245585,0.0030012126895599,0.2012382306158542,0.2250873282551765,True,False,False,0.8782048366198102
13,mean_acc_energy_pareto,C008464,6892041708277344938,5,increasing,linear,0.05,5,1-2-3-4-5,20,120,20-46-68-99-120,206043,4,20-46-68-99-120|1-2-3-4-5,5,206043,increasing,linear,20.0,1.0,46.0,1.0,68.0,1.0,99.0,1.0,120.0,1.0,,0.0,20.0,120.0,70.6,35.83071308249391,353.0,100.0,20.0,120.0,6.0,5.0,5871456.0,11742912.0,38672.0,1.0,1.0,,,,0.0026982919264089,0.0026080852368547,0.0001707248955294,0.0024373603413253,0.0027788101323842,0.0654598604052377,0.1849364830377496,0.1969936686719566,0.0105935112344916,0.186400157437465,0.2075871799064482,0.0537758969915547,81.37139452476892,80.67510958608092,1.3780119775905386,79.29709760849039,82.05312156367145,0.0170810053393257,0.0454389209120394,False,predicted,,0.2364487942511525,0.6372516982802556,0.3627483017197443,distance_weighted_round1_round2,81.86602401733398,79.99719505310058,0.002200641692616,0.0028400178533047,0.1891830630600452,0.2014397673308849,True,False,False,0.8798724775503065
14,mean_acc_energy_pareto,C040311,251739975905312590,6,increasing,linear,0.0,5,1-2-3-5-6,13,109,13-32-51-71-90-109,198638,4,13-32-51-71-90-109|1-2-3-5-6,6,198638,increasing,linear,13.0,1.0,32.0,1.0,51.0,1.0,71.0,0.0,90.0,1.0,109.0,1.0,13.0,109.0,61.0,32.88870120066566,366.0,96.0,13.0,109.0,8.384615384615385,5.0,4052664.0,8105328.0,27780.0,1.0,1.0,,,,0.0021497139693396,0.0022175873073417,0.0002118533951605,0.0020057339121812,0.0024294407025023,0.0955332827073534,0.1410144868403395,0.1405179853552835,0.0104220202796395,0.1300959650756439,0.1509400056349231,0.0741685859876847,79.48064623986768,79.45521270748803,1.7852814469764684,77.66993126051156,81.2404941544645,0.0224690286029304,0.0640569657659895,False,predicted,,0.0691487892223447,0.7778859439641781,0.2221140560358219,distance_weighted_round1_round2,81.33954277038575,78.91716957092285,0.0017022379615809,0.0023647378431633,0.1368822589516639,0.1415561143308878,True,True,False,0.8928394451157611
15,mean_acc_energy_pareto,C023813,4942465510718206510,5,increasing,late,0.0,5,1-2-3-4-5,8,178,8-19-50-104-178,225691,4,8-19-50-104-178|1-2-3-4-5,5,225691,increasing,late,8.0,1.0,19.0,1.0,50.0,1.0,104.0,1.0,178.0,1.0,,0.0,8.0,178.0,71.8,62.68779785572308,359.0,170.0,8.0,178.0,22.25,5.0,2533824.0,5067648.0,18632.0,1.0,1.0,,,,0.0014916017428906,0.0014098445595497,0.0001116468925163,0.0012981976670334,0.001521491452066,0.0791909233965243,0.1095801443786872,0.1087817114019514,0.006595443184806,0.1021862682171454,0.1153771545867575,0.0606300737486627,77.49534474843082,78.8029743277163,1.8251289818915395,76.97784534582476,80.62810330960784,0.0231606610976562,0.0543272194142811,False,predicted,,0.1411955864168612,0.7119535372240122,0.2880464627759878,distance_weighted_round1_round2,82.1219669342041,77.46015625,0.001219593809219,0.0014868173573631,0.1172349151223897,0.1053616631776094,True,True,False,0.9445953214499878
16,mean_acc_energy_pareto,C020372,8302942385746188664,6,increasing,early,0.05,5,1-2-3-4-5,10,72,10-39-51-58-66-72,126549,3,10-39-51-58-66-72|1-2-3-4-5,6,126549,increasing,early,10.0,1.0,39.0,1.0,51.0,1.0,58.0,1.0,66.0,1.0,72.0,0.0,10.0,72.0,49.333333333333336,20.5074512203627,296.0,62.0,10.0,72.0,7.2,5.0,2927232.0,5854464.0,24752.0,1.0,1.0,,,,0.0012296888569288,0.0012123098235881,9.260374001443732e-05,0.0011197060835736,0.0013049135636025,0.0763861994785751,0.1050501787789027,0.1099481228298368,0.0052401374686818,0.104707985361155,0.1151882602985187,0.0476600903572666,78.414500049207,76.87967477653089,1.465858964565576,75.41381581196532,78.34553374109646,0.0190669246302933,0.047704404822045,False,predicted,,0.2809113710043031,0.6066444223145433,0.3933555776854567,distance_weighted_round1_round2,79.13831329345703,75.41514625549317,0.0011902996659046,0.0012265814759302,0.1192418277263641,0.1039219722151756,True,False,False,0.9337486019469521
17,mean_acc_energy_pareto,C018983,852033922897050968,5,increasing,early,0.1,5,1-2-3-4-5,11,17,11-13-14-17-17,8217,1,11-13-14-17-17|1-2-3-4-5,5,8217,increasing,early,11.0,1.0,13.0,1.0,14.0,1.0,17.0,1.0,17.0,1.0,,0.0,11.0,17.0,14.4,2.33238075793812,72.0,6.0,11.0,17.0,1.5454545454545454,5.0,783108.0,1566216.0,15828.0,1.0,1.0,,,,0.0008438592170975,0.0009073933882384,5.1982049450439584e-05,0.000855411338788,0.0009593754376889,0.0572872252809249,0.0578118379885551,0.0636259456518262,0.0044697692463441,0.0591561764054821,0.0680957148981703,0.0702507318445776,68.77746926462555,68.6854931158538,1.5764639106606957,67.10902920519311,70.2619570265145,0.0229519195269025,0.0501632922174683,False,predicted,,0.5531053920995066,0.4654419785619993,0.5345580214380007,distance_weighted_round1_round2,74.7065818786621,61.77029972076416,0.0009449784149182,0.0008642271539429,0.0707493418827653,0.0554447570815682,True,True,False,0.8473741973800549
18,mean_acc_energy_pareto,C030067,7647435682015302531,5,increasing,late,0.05,5,1-2-3-4-5,9,37,9-11-15-26-37,15265,1,9-11-15-26-37|1-2-3-4-5,5,15265,increasing,late,9.0,1.0,11.0,1.0,15.0,1.0,26.0,1.0,37.0,1.0,,0.0,9.0,37.0,19.6,10.49952379872535,98.0,28.0,9.0,37.0,4.111111111111111,5.0,662760.0,1325520.0,13556.0,1.0,1.0,,,,0.0008454797847712,0.0008782922400931,5.578730180523482e-05,0.0008225049382879,0.0009340795418983,0.0635179263331728,0.0587015701436322,0.0651793089950131,0.0058553642069596,0.0593239447880535,0.0710346732019727,0.0898347082416539,68.34254186030283,67.89265563182416,1.3974160094281822,66.49523962239597,69.29007164125234,0.0205827271952101,0.0579784539233456,False,predicted,,0.3207338183544851,0.5812907022693354,0.4187092977306645,distance_weighted_round1_round2,74.77117195129395,62.9379940032959,0.0009110004582908,0.0008547321951482,0.0757235830649733,0.0575841667130589,True,False,False,0.8389869041864346
19,mean_acc_energy_pareto,C024866,5076576322771366740,5,increasing,linear,0.05,4,1-2-3-5,11,16,11-11-13-15-16,6824,1,11-11-13-15-16|1-2-3-5,5,6824,increasing,linear,11.0,1.0,11.0,1.0,13.0,1.0,15.0,0.0,16.0,1.0,,0.0,11.0,16.0,13.2,2.039607805437114,66.0,5.0,11.0,16.0,1.4545454545454546,4.0,727920.0,1455840.0,15408.0,2.0,2.0,,,,0.0008111481503928,0.0008637450997771,5.111601056726085e-05,0.0008126290892098,0.0009148611103443,0.0591795086078656,0.0569194756648595,0.0612768223904292,0.0036993006529996,0.0575775217374296,0.0649761230434288,0.0603703081962913,67.96223037688574,67.73045030651147,1.6042739663348529,66.12617634017661,69.33472427284633,0.0236861553271058,0.0477453240437542,False,predicted,,0.4472507081306866,0.5120965243675413,0.4879034756324587,distance_weighted_round1_round2,74.52694816589356,61.25504035949707,0.0009023916092701,0.0008269243728136,0.0689693253487348,0.0539477374404668,True,True,False,0.8379140469236517
20,mean_acc_energy_pareto,C002081,1040344605747262126,4,decreasing,linear,0.1,3,1-2-4,13,13,13-13-13-13,5106,1,13-13-13-13|1-2-4,4,5106,decreasing,linear,13.0,1.0,13.0,1.0,13.0,0.0,13.0,1.0,,0.0,,0.0,13.0,13.0,13.0,0.0,52.0,0.0,13.0,13.0,1.0,3.0,943488.0,1886976.0,18304.0,4.0,4.0,,,,0.0008599356844526,0.0008146560160638,6.147583377303894e-05,0.0007531801822908,0.0008761318498368,0.075462320980663,0.059121890835592,0.0619918393927454,0.0037084518632469,0.0582833875294984,0.0657002912559924,0.0598216136119516,66.3788741829116,66.7870467400548,1.4381229308997874,65.34892380915502,68.22516967095459,0.0215329618705432,0.0522722988210526,False,predicted,,0.4472135954999579,0.5121145375698901,0.4878854624301099,distance_weighted_round1_round2,74.4071876525879,59.52742862701416,0.0008460282260784,0.0007847680826671,0.0702522508800029,0.0541222430765628,True,False,False,0.8290161585271179
