model_id,target_energy_j,target_energy_std_j,target_energy_cv_percent,target_latency_ms,target_throughput_inferences_per_sec,measurement_valid_trials,feature_depth,feature_parameter_count,feature_pattern,feature_growth_pattern,feature_channel_1,feature_pool_after_1,feature_channel_2,feature_pool_after_2,feature_channel_3,feature_pool_after_3,feature_channel_4,feature_pool_after_4,feature_channel_5,feature_pool_after_5,feature_channel_6,feature_pool_after_6,feature_channel_min,feature_channel_max,feature_channel_mean,feature_channel_std,feature_channel_sum,feature_channel_range,feature_channel_first,feature_channel_last,feature_channel_last_first_ratio,feature_pool_count,feature_conv_macs,feature_conv_flops,feature_activation_elements,feature_final_feature_map_height,feature_final_feature_map_width
0021,0.0062485330334876,8.594976640084283e-05,1.37551911689053,0.478305646,2090.7185123333334,3,5,479224,increasing,late,56.0,1.0,66.0,1.0,94.0,1.0,142.0,0.0,208.0,0.0,,0.0,56.0,208.0,113.2,56.00857077269514,566.0,152.0,56.0,208.0,3.7142857142857144,3.0,19812672.0,39625344.0,85856.0,4.0,4.0
0022,0.0044506308206383,5.328198028561177e-05,1.19717816266704,0.3852647816666666,2595.628442,3,2,89852,increasing,late,64.0,1.0,150.0,0.0,,0.0,,0.0,,0.0,,0.0,64.0,150.0,107.0,43.0,214.0,86.0,64.0,150.0,2.34375,1.0,23887872.0,47775744.0,103936.0,16.0,16.0
0023,0.0176798502192851,0.0001568515851424,0.8871771151734203,1.297706947,770.5917996666667,3,6,128455,hourglass,early,83.0,0.0,68.0,1.0,20.0,0.0,20.0,1.0,63.0,1.0,83.0,1.0,20.0,83.0,56.166666666666664,26.592083199495466,337.0,63.0,83.0,83.0,1.0,4.0,59843664.0,119687328.0,170224.0,2.0,2.0
0024,0.0079144548217043,0.0002677626690028,3.383210531047061,0.6109128453333333,1636.9037463333334,3,3,109370,increasing,linear,51.0,1.0,77.0,0.0,103.0,0.0,,0.0,,0.0,,0.0,51.0,103.0,77.0,21.228911104120876,231.0,52.0,51.0,103.0,2.019607843137255,1.0,28730880.0,57461760.0,98304.0,16.0,16.0
0025,0.0510668667646274,0.0012933168367766,2.532594848118872,3.8621951923333335,258.9260781666667,3,5,878765,decreasing,early,204.0,1.0,188.0,0.0,158.0,0.0,131.0,0.0,62.0,1.0,,0.0,62.0,204.0,148.6,50.038385265713764,743.0,142.0,204.0,62.0,0.30392156862745096,2.0,228842496.0,457684992.0,346880.0,8.0,8.0
0026,0.0022405426194103,5.9454323388343926e-05,2.653568063078869,0.1823141439999999,5485.056064333333,3,2,19990,uniform,early,45.0,1.0,45.0,1.0,,0.0,,0.0,,0.0,,0.0,45.0,45.0,45.0,0.0,90.0,0.0,45.0,45.0,1.0,2.0,5909760.0,11819520.0,57600.0,8.0,8.0
0027,0.0067305164641829,0.0002560332045171,3.804064753122918,0.5494093636666667,1820.1479283333333,3,4,212706,uniform,late,88.0,1.0,88.0,1.0,88.0,1.0,88.0,1.0,,0.0,,0.0,88.0,88.0,88.0,0.0,352.0,0.0,88.0,88.0,1.0,4.0,25850880.0,51701760.0,119680.0,2.0,2.0
0028,0.0053954816057134,0.0002238359213575,4.148580937066983,0.427272089,2340.433722,3,4,116750,uniform,early,65.0,1.0,65.0,1.0,65.0,0.0,65.0,0.0,,0.0,,0.0,65.0,65.0,65.0,0.0,260.0,0.0,65.0,65.0,1.0,2.0,16398720.0,32797440.0,91520.0,8.0,8.0
0029,0.0242976219817612,0.0005011600483869,2.0625888770642216,1.732020096,577.3778047000001,3,6,313491,decreasing,late,149.0,1.0,110.0,0.0,80.0,0.0,58.0,0.0,45.0,0.0,41.0,1.0,41.0,149.0,80.5,38.49134101760204,483.0,108.0,149.0,41.0,0.2751677852348993,2.0,83112192.0,166224384.0,238080.0,8.0,8.0
0030,0.040298592980743,0.0007531269281772,1.868866559527532,3.133787116,319.10624196666663,3,6,263198,uniform,linear,76.0,0.0,76.0,0.0,76.0,0.0,76.0,1.0,76.0,0.0,76.0,0.0,76.0,76.0,76.0,0.0,456.0,0.0,76.0,76.0,1.0,1.0,188411904.0,376823808.0,350208.0,16.0,16.0
