id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc,synflow_score,grad_norm_score,jacob_cov_score,final_accuracy,best_accuracy,final_val_loss,train_time_sec,feature_synflow_score,feature_grad_norm_score,feature_jacob_cov_score
94,1341991664185510061,5,hourglass,linear,0.0,21,89,89-55-21-55-89,1-3-5,112512,model_onnx/0094.onnx,453271,2026-09-08T11:09:33.017600+00:00,8525100.163898706,0.29568294080511365,-16.09768295288086,75.91,75.96,0.6953960185050965,731.4841423034668,8525099.659935266,0.1823098444363796,-16.05711555480957
113,2204719407037680615,6,increasing,late,0.0,30,83,30-32-38-49-64-83,1-3-5,114320,model_onnx/0113.onnx,460923,2026-09-08T11:09:33.904179+00:00,42051342.64325631,0.15395425430372917,-16.080127716064453,79.35,79.35,0.6005745289802551,686.9733159542084,42051342.64423287,0.2024049763666507,-16.113605499267578
120,2450932048946963560,4,uniform,linear,0.0,38,38,38-38-38-38,1-2-4,40556,model_onnx/0120.onnx,165030,2026-09-08T11:09:34.223061+00:00,289650.031621933,0.3140025528171508,-16.057937622070312,71.38,71.48,0.8134036993026733,676.8031709194183,289650.0238013864,0.4009821986921224,-16.073497772216797
125,3816516542109905248,6,inverse_hourglass,early,0.05,46,224,46-165-224-224-163-46,5,1251204,model_onnx/0125.onnx,5008027,2026-09-08T11:09:34.509431+00:00,1085944471.6396961,0.19828695885477804,-16.074974060058594,83.41,83.62,0.5641255888462067,1563.1950731277466,1085944455.1401546,0.1578019699484655,-16.07811164855957
127,6442497889882592968,6,inverse_hourglass,early,0.1,19,240,19-162-240-240-174-19,1-2-3-5,1303183,model_onnx/0127.onnx,5216606,2026-09-08T11:09:34.625772+00:00,176450285.85023916,0.2157546249285347,-16.076862335205078,83.99,83.99,0.5005674758911133,771.8991034030914,176450287.78786123,0.2943847842543386,-16.094083786010742
133,1199462858865090077,6,hourglass,early,0.05,53,135,135-115-53-53-121-135,3-5-6,430210,model_onnx/0133.onnx,1724486,2026-09-08T11:09:34.862282+00:00,574197633.4690582,0.2853145968305808,-16.030563354492188,83.45,83.52,0.5127543458461762,951.3900363445282,574197553.2209961,0.2154904696172318,-16.063684463500977
149,7709370079779957983,3,inverse_hourglass,early,0.1,64,140,64-140-64,1-2-3,163926,model_onnx/0149.onnx,658098,2026-09-08T11:09:35.603893+00:00,92368.51528453827,1.1571853752003265,-16.06751251220703,73.69,73.86,0.7687233782768249,695.2022707462311,92368.5074710846,1.4201655276259464,-16.107955932617188
158,5499586432657722140,3,uniform,linear,0.05,83,83,83-83-83,2-3,127332,model_onnx/0158.onnx,511501,2026-09-08T11:09:35.949843+00:00,91505.80265974998,0.868360831197558,-16.060890197753906,69.79,69.84,0.8719784873008728,807.2812337875366,91505.80467092992,0.6827667814509848,-16.07184600830078
176,4078802847151167650,6,uniform,linear,0.1,25,25,25-25-25-25-25-25,3-4-6,29210,model_onnx/0176.onnx,120472,2026-09-08T11:09:36.755456+00:00,9822497.821838677,0.22748788237622883,-16.056049346923828,69.09,69.13,0.8802953754425049,700.2742693424225,9822498.071323574,0.2998339574714992,-16.059768676757812
183,6041984801109206791,6,decreasing,linear,0.0,87,222,222-195-168-141-114-87,,1139371,model_onnx/0183.onnx,4560476,2026-09-08T11:09:37.129992+00:00,2002549507.8118148,0.3119188225787958,-16.057514190673828,81.48,81.56,0.6061571487426758,1533.902639627457,2002549251.784089,0.2653964276489809,-17.220016479492188
