id,seed,depth,pattern,growth_pattern,noise_ratio,min_channels,max_channels,channels,pools,parameter_count,onnx_path,onnx_size_bytes,created_at_utc
0055,23875190195495825,2,decreasing,early,0.05,70,80,80-70,2,53420,model_onnx/0055.onnx,215226,2026-09-08T11:09:31.386926+00:00
0056,2766767432021512665,6,hourglass,late,0.1,94,110,110-104-94-94-94-110,1-2-3-4-5,447738,model_onnx/0056.onnx,1795038,2026-09-08T11:09:31.444931+00:00
0057,5506572091110198596,6,decreasing,late,0.0,74,166,166-133-107-89-78-74,2-3,532793,model_onnx/0057.onnx,2134604,2026-09-08T11:09:31.500963+00:00
0058,2385865402933728452,2,increasing,early,0.0,22,243,22-243,1-2,51413,model_onnx/0058.onnx,207417,2026-09-08T11:09:31.526907+00:00
0059,4484420655240385858,5,increasing,late,0.0,60,229,60-71-102-155-229,1-2-3-4-5,569800,model_onnx/0059.onnx,2282874,2026-09-08T11:09:31.580034+00:00
0060,1715575555752788342,4,decreasing,early,0.0,55,184,184-160-129-55,2-3,520631,model_onnx/0060.onnx,2085120,2026-09-08T11:09:31.619455+00:00
0061,4154080990474572052,4,increasing,late,0.05,94,209,94-112-148-209,1-2-3-4,527525,model_onnx/0061.onnx,2113134,2026-09-08T11:09:31.659482+00:00
0062,1257126980290114100,5,increasing,linear,0.05,91,231,91-130-169-197-231,,1018995,model_onnx/0062.onnx,4078551,2026-09-08T11:09:31.728765+00:00
0063,2294157064221897010,5,hourglass,linear,0.05,58,72,72-68-58-66-72,1-5,159790,model_onnx/0063.onnx,642160,2026-09-08T11:09:31.779724+00:00
0064,7966145023497896421,4,uniform,late,0.1,49,49,49-49-49-49,1-2-3-4,66846,model_onnx/0064.onnx,270411,2026-09-08T11:09:31.818826+00:00
0065,5206319131135776153,2,uniform,late,0.0,92,92,92-92,1-2,79774,model_onnx/0065.onnx,320860,2026-09-08T11:09:31.840482+00:00
0066,3141079299043587691,2,uniform,linear,0.0,76,76,76-76,2,54958,model_onnx/0066.onnx,221378,2026-09-08T11:09:31.859344+00:00
0067,1812485643808634968,2,uniform,late,0.0,53,53,53-53,1,27358,model_onnx/0067.onnx,110978,2026-09-08T11:09:31.881192+00:00
0068,6472282892102423096,2,decreasing,early,0.05,66,92,92-66,2,57960,model_onnx/0068.onnx,233386,2026-09-08T11:09:31.903463+00:00
0069,5686026129398672297,4,hourglass,late,0.1,94,192,192-94-94-192,2,412074,model_onnx/0069.onnx,1650668,2026-09-08T11:09:31.938736+00:00
0070,3280070557530779944,2,uniform,late,0.1,54,54,54-54,1-2,28360,model_onnx/0070.onnx,115204,2026-09-08T11:09:31.962942+00:00
0071,5413746254972270323,5,uniform,late,0.1,17,17,17-17-17-17-17,2,11128,model_onnx/0071.onnx,47273,2026-09-08T11:09:32.002126+00:00
0072,2975133884345937882,3,increasing,late,0.05,85,125,85-99-125,1-2-3,190974,model_onnx/0072.onnx,766287,2026-09-08T11:09:32.072080+00:00
0073,8808178397408686662,4,increasing,early,0.1,33,96,33-68-77-96,2,135983,model_onnx/0073.onnx,546296,2026-09-08T11:09:32.111945+00:00
0074,4032209417062721925,4,uniform,linear,0.1,44,44,44-44-44-44,,54086,model_onnx/0074.onnx,218490,2026-09-08T11:09:32.138887+00:00
0075,1949412010226759758,3,decreasing,early,0.1,56,130,130-111-56,1-2,190191,model_onnx/0075.onnx,762940,2026-09-08T11:09:32.167519+00:00
0076,813546861977228018,2,uniform,linear,0.05,48,48,48-48,,22618,model_onnx/0076.onnx,91800,2026-09-08T11:09:32.210537+00:00
0077,8403490908903309423,5,uniform,linear,0.0,83,83,83-83-83-83-83,1-3-4-5,251500,model_onnx/0077.onnx,1009446,2026-09-08T11:09:32.310104+00:00
0078,5562590862614055044,3,hourglass,linear,0.05,76,100,100-76-100,,140786,model_onnx/0078.onnx,564881,2026-09-08T11:09:32.339415+00:00
0079,9127384634501692985,6,increasing,linear,0.1,16,110,16-36-59-74-94-110,1-3-4-5-6,221189,model_onnx/0079.onnx,888840,2026-09-08T11:09:32.390429+00:00
0080,6764042170032390251,3,inverse_hourglass,linear,0.05,57,221,57-221-57,1-2-3,229200,model_onnx/0080.onnx,919194,2026-09-08T11:09:32.418876+00:00
0081,9214316316864823098,3,increasing,late,0.05,59,159,59-86-159,,172229,model_onnx/0081.onnx,690656,2026-09-08T11:09:32.451040+00:00
0082,6411297789518560247,4,increasing,late,0.1,39,160,39-56-102-160,2-3,220964,model_onnx/0082.onnx,886444,2026-09-08T11:09:32.491808+00:00
0083,6445064468463437637,5,inverse_hourglass,early,0.0,19,144,19-107-144-107-19,1-2-3-4-5,315047,model_onnx/0083.onnx,1263854,2026-09-08T11:09:32.543238+00:00
0084,4366834420234858156,6,inverse_hourglass,linear,0.0,44,103,44-68-103-103-68-44,2-3-4-5-6,277477,model_onnx/0084.onnx,1113994,2026-09-08T11:09:32.598030+00:00
0085,7985957171951570311,5,hourglass,linear,0.05,88,136,136-115-88-117-136,5,473346,model_onnx/0085.onnx,1896169,2026-09-08T11:09:32.646016+00:00
0086,5291913942913069831,2,uniform,linear,0.05,57,57,57-57,1-2,31474,model_onnx/0086.onnx,127660,2026-09-08T11:09:32.668850+00:00
0087,8695527007157651663,3,increasing,linear,0.1,49,107,49-79-107,1-2,113554,model_onnx/0087.onnx,456389,2026-09-08T11:09:32.694415+00:00
0088,5522071537114309014,6,decreasing,linear,0.1,33,248,248-214-154-119-81-33,3-5,1057879,model_onnx/0088.onnx,4234947,2026-09-08T11:09:32.770826+00:00
0089,6877166038929690069,4,decreasing,late,0.0,88,203,203-139-101-88,1,467198,model_onnx/0089.onnx,1871164,2026-09-08T11:09:32.813262+00:00
0090,6535939628525469151,6,inverse_hourglass,linear,0.0,58,201,58-115-201-201-115-58,2,902643,model_onnx/0090.onnx,3613777,2026-09-08T11:09:32.863896+00:00
0091,3855134832119606770,6,uniform,early,0.0,29,29,29-29-29-29-29-29,1,39102,model_onnx/0091.onnx,159600,2026-09-08T11:09:32.902698+00:00
0092,4994146221316433190,5,uniform,linear,0.05,52,52,52-52-52-52-52,1-2-4,99538,model_onnx/0092.onnx,401377,2026-09-08T11:09:32.942964+00:00
0093,8493176640350403106,4,uniform,early,0.0,26,26,26-26-26-26,1-2-3-4,19328,model_onnx/0093.onnx,80331,2026-09-08T11:09:32.979986+00:00
0094,1341991664185510061,5,hourglass,linear,0.0,21,89,89-55-21-55-89,1-3-5,112512,model_onnx/0094.onnx,453271,2026-09-08T11:09:33.017600+00:00
